ID	freq1	freq2	freq3	freq4	freq5	freq6	amp1	amp2	amp3	amp4	amp5	amp6
0	13.8306	15.2442	13.2329	14.7163	13.1128	15.7375	0.0525	-0.3007	-3.1682	-0.8236	0.8480	0.1321
1	14.3611	13.2371	14.1443	14.3412	13.3733	13.4836	1.5386	-0.3691	0.8313	-1.5281	0.4909	0.4108
2	14.6416	15.0555	13.5353	14.9998	13.0675	15.3332	0.8246	-0.4589	-0.3832	-0.0487	2.0822	2.6399
3	13.7495	13.8920	14.7372	14.2598	15.6367	15.6392	1.5591	0.1709	0.1035	-0.8100	-0.2998	-1.4430
4	14.1873	13.6845	13.6792	14.7378	15.6273	15.1302	0.1308	-0.2065	-1.3283	-0.1886	-0.0481	1.4839
5	13.9607	15.1790	15.6729	14.6720	13.8566	13.5625	0.5310	-2.4806	-1.0403	0.2359	-0.5604	-1.5455
6	13.5941	13.5822	13.0302	15.4119	15.8786	13.6304	-1.4224	1.4705	-1.0970	0.0689	-1.2746	-2.8516
7	14.4802	15.8986	15.8810	13.7207	15.4478	15.6339	-2.2271	-1.5838	-1.0672	0.2657	0.2771	0.7377
8	15.5939	15.0633	13.2499	15.7739	14.9265	14.4905	2.7562	0.7769	-0.9032	0.4868	0.5942	1.0335
9	15.2710	13.9848	13.6713	14.7304	15.9301	13.5873	0.1009	0.6334	-0.5809	2.7255	0.9158	-0.3789
10	13.4163	14.3424	15.1176	14.0312	13.5804	13.2508	0.3430	0.3922	0.9417	-1.3035	-1.1599	1.9969
11	14.7507	15.0577	14.5227	15.5645	14.1578	14.6544	-0.4671	-0.0600	0.1519	-0.4118	1.0958	0.1747
12	13.5628	15.0575	15.7900	14.8578	15.9865	14.0635	0.8707	0.5365	0.5555	-1.1236	-0.6159	-0.9551
13	13.5095	15.8286	14.5650	13.3499	14.6775	14.1926	-1.4805	0.2875	-0.0968	-0.5598	2.8135	-1.1136
14	14.3982	15.9294	13.5544	14.7903	14.9341	13.8981	0.1257	-1.8627	-1.1365	-0.0870	-0.9531	-1.0850
15	13.8075	15.0200	15.8141	13.6246	14.1345	13.2975	-0.4873	0.4582	-1.5225	2.2570	0.4016	1.8804
16	13.6072	13.4782	15.2294	14.6695	14.7575	14.5293	-1.0360	1.1165	-0.3515	-0.9956	-0.4223	-0.1758
17	15.3549	13.6638	14.5724	14.5301	13.3071	15.9899	0.1459	-0.9767	0.8671	-0.5242	0.0107	-2.3624
18	15.4613	13.4824	13.9992	14.9077	13.7002	15.2338	1.9485	-0.7022	-1.7222	0.5409	1.0567	0.2724
19	13.4215	14.6869	13.6266	15.6773	15.9525	14.2584	0.2728	-2.3036	-1.3252	2.1355	-1.3625	0.7849
20	13.5265	14.9646	15.8510	13.3691	13.7302	15.2137	-0.2462	1.7112	0.5884	-1.3732	0.5982	-0.1055
21	15.1465	15.3715	14.8599	15.1827	14.7009	13.9825	-0.2471	1.8121	-0.5727	2.0536	0.7661	1.4295
22	13.5503	13.5168	15.6462	14.0338	13.5364	14.5934	0.5835	-0.5034	-0.6345	-0.3546	-0.4547	-1.1702
23	15.1864	15.0624	15.2023	13.2621	14.0477	14.2779	0.4924	-1.7808	1.8112	1.2248	0.1120	-0.5171
24	13.9062	14.0785	14.2842	13.6848	15.3583	14.1652	-0.3056	0.2635	-2.0884	1.4723	1.1146	1.6945
25	15.6191	15.5580	15.1448	15.3062	15.4475	15.6998	-1.2711	-0.6313	-0.2014	-1.8248	-0.3895	-0.6095
26	14.8935	13.5233	13.7134	13.1599	15.2001	13.7974	0.5484	3.1741	1.0359	0.9579	0.5352	-1.1487
27	14.3807	14.8231	13.7205	14.5098	15.5984	15.9604	1.7186	0.2177	-0.0137	-0.4037	0.1510	0.5801
28	15.1713	14.3058	14.0511	15.9573	15.1893	15.3093	-1.0837	-1.5413	2.2457	0.3235	-0.4458	0.5829
29	15.9859	13.0641	13.8012	15.5789	14.6142	15.7875	0.0011	-0.4167	0.2472	0.1814	0.1950	0.1525
30	14.9327	15.2264	14.8438	14.1197	15.9722	14.6817	1.4607	-1.7955	-0.5651	0.7535	2.0646	-0.6076
31	15.1333	13.5802	13.1480	14.9171	13.7187	15.2086	0.2066	0.7048	0.5262	-0.9864	-1.0107	1.8949
32	13.1379	14.3505	14.5631	15.1267	15.1082	13.6948	0.4897	-0.1175	1.7156	-1.2674	-1.6870	1.2488
33	13.3899	13.2135	15.8007	15.7738	14.2949	15.9258	-0.8822	0.1480	-0.0276	-1.2101	-0.2735	-1.3444
34	15.8855	14.3128	15.4747	14.7698	14.1516	14.2865	0.1271	-0.0261	-0.0325	-0.2208	-1.7592	-1.3615
35	15.8519	13.5570	13.4107	13.3095	14.4679	13.5544	0.2165	-1.3166	0.0214	2.0153	0.2134	0.3028
36	15.6786	14.3020	14.9663	13.1505	15.7200	14.7950	0.1727	-1.6093	-0.8175	0.7228	-0.3846	0.3551
37	13.5141	15.7088	15.4216	15.5119	13.8192	15.4023	0.3240	0.0959	0.3021	2.0756	-0.9211	-1.5071
38	15.9663	13.1298	13.2319	15.1894	13.4521	14.1144	-0.0318	-0.8060	1.2174	-0.2019	0.2515	-0.5014
39	13.8136	14.8147	15.4155	15.7511	14.6566	13.3524	0.2303	0.8197	1.5826	-0.6358	-0.7069	0.6501
40	15.6397	15.6512	13.7708	13.4704	14.8850	13.1660	-0.9290	1.5591	0.1143	-0.7275	0.7182	0.6663
41	13.0162	13.3692	14.8678	15.2796	15.9039	14.0606	0.7762	0.9500	-0.2189	1.1651	0.2897	0.8305
