ID	freq1	freq2	freq3	freq4	freq5	freq6	amp1	amp2	amp3	amp4	amp5	amp6
0	40.5190	41.9581	41.1177	40.4491	39.4523	40.0015	-0.3628	2.4054	2.0404	-0.8193	0.6710	-1.2350
1	41.5058	40.3525	41.9486	39.7985	41.3843	40.7390	-0.2964	-0.5658	-1.2667	0.0769	0.1647	0.7575
2	39.0605	40.7422	40.7449	39.2500	40.3987	41.0561	0.9514	-0.8145	-0.0449	-0.3322	0.2342	-1.2398
3	40.1112	39.3411	39.1558	40.7061	40.8423	41.2924	-1.9165	-1.4180	2.6448	-1.4583	-0.7725	0.6499
4	39.8870	40.9942	40.1633	40.4189	39.1425	39.6395	1.5234	-0.4576	-1.0862	2.0128	1.0061	1.0052
5	40.7863	40.7432	40.2734	39.8291	39.2433	40.7684	-0.8226	1.1996	-1.1056	-1.9654	-2.1814	-2.8122
6	41.7587	41.8878	41.1418	41.1014	41.5261	39.4985	-1.1257	-0.3622	0.8776	0.3346	-1.1235	-1.0382
7	41.4368	39.1379	40.2077	41.7728	39.2564	41.8259	0.0220	0.5295	0.3016	-0.6379	0.7332	0.5751
8	41.4741	40.2072	40.3473	39.4293	40.5277	39.0775	-0.1745	-0.5654	0.0580	0.3580	0.7035	0.5501
9	40.2571	41.8212	39.1844	40.9963	39.7457	40.1638	-1.7373	0.2348	-1.1763	0.6950	0.1369	1.2676
10	40.4369	41.1549	39.5196	40.4861	41.6907	39.3175	-1.4518	-0.6411	1.4279	-1.1378	1.0908	-0.4361
11	40.3649	39.0172	41.4288	40.6449	41.1241	40.6181	-1.4290	1.7510	-1.5106	1.6254	-0.0346	0.8217
12	40.9171	41.8715	40.1807	39.4298	40.6028	41.9278	0.2245	0.7471	-1.1307	0.6362	2.7056	0.0427
13	40.4431	40.9368	41.9810	39.6407	40.5816	40.9919	0.7467	0.0138	1.0939	-0.7570	-0.0619	-0.9348
14	41.6009	39.4344	41.2846	41.0601	41.1911	40.8815	-0.7654	-1.3382	-0.6560	-0.2168	0.3794	-0.9276
15	39.6485	41.7826	40.5710	40.7839	41.8053	41.3211	-0.2761	0.9275	-1.0634	-1.6526	0.2987	-0.4354
16	40.5129	41.2224	40.9289	39.7158	40.3535	41.0448	-0.3532	-0.8631	-0.6056	1.7081	-2.6967	0.4882
17	41.6698	39.0617	39.9864	39.3430	39.8304	41.5372	-0.7168	2.0403	0.8013	0.7033	-0.0979	-0.8125
18	40.2883	39.2934	40.3722	41.2493	41.1534	41.4450	1.0948	1.2040	-0.2782	-1.8686	-2.0652	0.4482
19	39.0585	40.5488	41.7530	40.0079	40.1628	39.6923	0.8861	0.0692	0.2702	1.0029	0.9876	-0.9653
20	41.4803	39.0937	41.2587	41.3693	39.3103	41.9422	0.5052	-0.7124	0.3833	0.3040	1.4567	2.0734
21	41.8952	41.5282	40.2990	41.0919	39.7351	39.0042	0.3392	-0.5993	-1.5001	-1.2610	1.0333	-1.8481
22	40.2041	39.2787	41.7555	40.0860	41.5380	40.6150	-0.3077	2.3962	-1.3836	0.4730	-1.9992	-1.0566
23	41.3009	39.4804	40.2709	41.3559	40.4729	41.6097	1.5885	0.2582	1.9067	0.3016	-0.4881	-0.3727
24	40.5306	39.8435	41.1851	41.6428	40.7246	39.3439	-0.1204	-0.1490	-1.2794	-0.1117	0.9937	1.0790
25	41.5638	40.2445	39.6687	39.5942	41.3489	40.9407	1.1884	0.3486	-0.2313	0.7556	0.7357	0.3477
26	39.1453	41.8987	39.7635	40.6513	41.4562	39.7021	0.6606	0.0163	-0.8899	1.3845	1.4174	-1.0191
27	40.5812	41.4648	41.0082	41.6526	41.8753	41.6264	-1.1394	-0.2242	-0.0654	-0.0990	0.0610	0.2852
28	40.3805	39.8370	39.8875	39.5009	41.6746	41.1433	1.1181	-1.3167	-0.3432	1.4285	0.3188	-0.0476
29	40.0796	41.9966	40.5672	39.0731	40.6321	41.9490	-1.9277	-0.1292	0.6985	0.1736	0.4971	0.5779
30	41.1268	39.7088	40.6265	41.1887	41.9434	41.6374	1.4076	-0.7785	-2.0119	-1.6870	0.1639	-0.4114
31	39.2904	39.8591	40.8949	40.9096	40.7276	39.8382	-2.1956	-0.2035	-0.9958	2.0442	0.5251	-1.7798
32	40.2164	41.2369	41.8326	40.9521	40.2261	41.7068	1.4019	0.7683	1.4975	-0.5891	0.1097	-1.8437
33	40.8797	41.4176	41.8849	41.7001	40.4012	39.0909	0.7026	-2.4110	1.1128	1.1344	2.1209	0.7117
34	41.2108	41.6618	40.8436	40.5264	39.2054	41.0616	0.0437	-0.6036	-0.0791	-0.0512	1.0244	0.2260
35	40.9767	40.5765	39.1568	41.4038	39.4478	39.6564	0.4029	-1.4657	1.5116	-0.4050	2.1147	0.2862
36	40.9597	40.4656	39.0654	40.9315	39.5234	41.5378	1.2489	0.6237	-0.5971	1.2862	-0.0703	0.5249
37	40.3790	40.9008	39.3178	41.2578	39.0467	40.1101	-0.5530	-1.0381	-1.2263	1.0945	0.9670	-1.1244
38	40.8386	39.4537	40.7671	41.9088	39.8601	41.0077	0.8131	0.0029	-1.6726	-0.8822	-2.1779	0.2144
39	41.6415	40.1193	39.9953	40.9176	40.6236	40.6757	-0.2593	0.1952	-0.7081	0.1262	0.2169	0.0914
40	39.5651	39.4486	41.0071	40.9780	40.5705	41.4218	1.5763	-0.6185	-0.4895	0.3694	-0.8382	0.7931
41	39.6149	40.6660	40.3694	39.1681	39.7695	39.7958	-0.5495	-0.1645	-1.6662	1.3583	-2.2372	-0.3208
42	40.1480	40.9392	39.5530	40.3235	40.7806	39.4968	0.7510	-0.2460	-1.9566	0.8694	-0.9778	-1.4078
43	39.4566	41.3038	40.4771	39.8062	39.8217	39.4688	1.4484	-1.4257	-1.6512	1.9877	0.0264	-1.4288
44	40.9808	39.4386	40.1050	39.9558	39.6006	39.9857	0.2825	0.6809	-0.2719	-0.5848	0.1286	-0.0051
45	40.9564	39.8383	40.7009	40.2848	40.5444	40.6811	0.4466	1.5028	-0.6293	-0.2189	0.3399	0.1558
46	39.8093	39.1853	39.6954	39.3595	39.4563	41.3776	-0.0239	-0.8013	0.9014	-0.2989	1.0601	2.4519
47	40.3841	41.3471	40.5201	40.1269	39.5880	41.2277	0.5240	0.0737	-0.8801	-0.6828	0.2887	0.7540
48	40.0541	41.4752	39.1582	39.0944	39.8199	40.4480	0.3859	-2.0251	0.7981	-0.8787	0.8919	0.5003
49	41.6692	41.2256	40.4420	41.2251	41.2404	40.4015	1.1061	1.0277	0.8735	0.3940	-0.4169	0.8898
50	40.9863	39.3987	40.0542	41.7197	41.7527	40.1798	1.9126	-0.3943	-0.2773	-1.0335	-0.0522	0.6933
51	39.4401	41.6282	39.9965	41.4562	40.9103	41.1389	-2.5250	3.8770	1.0238	0.8907	-0.4364	-0.0727
52	41.3289	41.5020	41.9257	39.0539	41.7334	39.2004	-0.2219	-0.0635	-0.6537	-0.7651	-0.5299	-0.9152
53	40.1516	39.4581	41.4613	39.8865	41.7729	41.7406	1.5903	-1.4684	1.7563	0.2316	0.0248	-0.0118
54	41.0827	40.3373	40.1988	39.9431	41.9903	40.7821	-1.0153	-0.2023	-0.1985	-0.4832	0.2038	-1.2132
55	40.3677	41.4790	40.0696	40.7466	41.7392	39.0825	-0.2255	-1.1944	0.5940	1.6036	0.7195	0.9179
56	40.1923	39.9982	39.6204	39.8212	39.4712	40.2891	-1.5383	2.1936	-0.9433	-0.4338	0.8389	0.0644
57	39.8932	39.8257	41.6092	40.9149	39.5415	41.0073	0.4002	-0.0950	1.5972	1.6814	-0.1993	-0.5708
58	41.3134	41.3769	41.3138	40.3733	39.6551	41.4695	0.8560	0.5552	-0.9751	-0.4138	-1.1243	1.0215
59	40.2702	39.4212	41.2547	40.3347	39.5432	40.1980	1.0992	2.1475	-0.8043	0.3863	-0.1789	0.3124
60	41.5232	40.3244	41.0653	40.0392	39.3131	41.6961	-0.6946	1.8322	0.9120	0.6772	0.0194	-0.7940
61	41.7279	40.6509	40.8565	39.4948	41.9166	39.3421	-0.1269	-1.0728	1.1817	-0.4707	-0.1206	-2.2639
62	40.0815	40.9420	40.8972	40.3450	40.9486	41.7239	0.9393	0.1514	0.9159	-0.2242	-0.7927	-1.6240
63	41.2969	40.0642	39.8244	41.5911	41.9194	41.3348	-0.4778	0.1198	-0.1221	-0.6345	0.1159	0.2092
64	41.2139	40.0280	39.6844	39.8950	41.1370	40.4976	-0.6084	0.1537	-0.3130	0.4169	-1.4790	1.4767
65	39.6728	39.2121	39.5875	40.5774	41.4179	40.6796	0.1573	-1.0778	-0.5404	0.2187	-1.0577	0.1645
66	41.4994	40.0757	40.6240	41.7493	40.5278	40.0611	-0.4272	0.7345	0.1378	1.9985	-0.9385	-0.0336
67	39.6920	40.0001	40.9656	40.6297	39.4454	41.3739	0.1471	1.5923	0.9191	0.3373	1.4348	-1.5824
68	39.1316	39.2847	41.6996	40.8289	40.6502	40.8065	-0.2852	-1.4330	-0.6685	-0.5292	0.4504	1.3718
69	41.4699	41.0084	41.2944	40.3767	40.9709	40.8157	-0.5394	-0.4565	-0.7129	0.2047	-0.1156	-1.0749
70	41.2950	39.3386	41.8235	41.4359	40.3310	40.2439	-0.2209	1.3682	0.9521	0.4010	-0.4913	1.5725
71	41.2396	39.2578	40.9121	40.4089	41.9600	40.0601	-0.3504	-1.2226	-1.2815	-1.1126	-0.3556	-1.3674
72	39.9789	41.1928	40.7358	39.1180	41.8054	41.2555	0.3820	-0.4490	0.9738	0.1673	-0.7142	-0.8990
73	40.4493	39.4000	40.4506	39.6737	39.7362	41.0735	-0.2745	-0.8039	-1.7665	0.4834	-0.7925	0.0855
